job_category,salary_in_usd,experience_level,work_setting,company_size,Cluster
Data Analysis,137000.0,Senior,Remote,M,1
Data Analysis,110000.0,Senior,Remote,M,1
Data Science and Research,172000.0,Senior,Remote,M,1
Data Science and Research,146000.0,Senior,Remote,M,1
Data Engineering,148000.0,Mid-level,In-person,M,2
Data Engineering,99000.0,Mid-level,In-person,M,2
Data Science and Research,150000.0,Senior,In-person,M,0
Data Engineering,99000.0,Senior,In-person,M,0
Data Engineering,52499.99999999999,Senior,In-person,M,0
Machine Learning and AI,180514.0,Senior,Remote,M,1
Machine Learning and AI,108307.99999999999,Senior,Remote,M,1
Machine Learning and AI,209999.99999999997,Senior,In-person,M,0
Machine Learning and AI,147000.0,Senior,In-person,M,0
Data Engineering,290300.0,Senior,In-person,M,0
Data Engineering,196685.0,Senior,In-person,M,0
Machine Learning and AI,175000.0,Mid-level,In-person,M,2
Machine Learning and AI,130000.0,Mid-level,In-person,M,2
Data Architecture and Modeling,185000.0,Senior,In-person,M,0
Data Architecture and Modeling,150000.0,Senior,In-person,M,0
Data Engineering,145000.0,Senior,In-person,M,0
Data Engineering,115000.0,Senior,In-person,M,0
Leadership and Management,115000.0,Senior,In-person,M,0
Leadership and Management,95000.0,Senior,In-person,M,0
Data Engineering,110243.99999999999,Mid-level,In-person,M,2
Data Engineering,39372.0,Mid-level,In-person,M,2
Machine Learning and AI,303387.0,Senior,Remote,M,1
Machine Learning and AI,100017.0,Senior,Remote,M,1
Data Engineering,230300.0,Senior,In-person,M,0
Data Engineering,140000.0,Senior,In-person,M,0
Data Engineering,124935.0,Senior,In-person,M,0
Data Engineering,76050.0,Senior,In-person,M,0
Data Science and Research,224800.0,Senior,In-person,M,0
Data Science and Research,131100.0,Senior,In-person,M,0
Data Science and Research,258000.0,Senior,In-person,M,0
Data Science and Research,171000.0,Senior,In-person,M,0
Data Engineering,196000.0,Senior,In-person,M,0
Data Engineering,121000.0,Senior,In-person,M,0
Data Engineering,195800.0,Senior,In-person,M,0
Data Engineering,171500.00000000003,Senior,In-person,M,0
Data Architecture and Modeling,166000.0,Mid-level,In-person,M,2
Data Architecture and Modeling,73100.0,Mid-level,In-person,M,2
Data Science and Research,160000.0,Mid-level,In-person,M,2
Machine Learning and AI,220000.0,Mid-level,In-person,M,2
Machine Learning and AI,100000.00000000001,Mid-level,In-person,M,2
Data Science and Research,185000.0,Senior,In-person,M,0
Data Science and Research,152000.0,Senior,In-person,M,0
Data Science and Research,48585.0,Senior,In-person,M,0
Data Science and Research,38868.0,Senior,In-person,M,0
Data Analysis,80000.0,Senior,Remote,M,1
Data Analysis,36912.0,Senior,Remote,S,1
Data Science and Research,150200.0,Senior,In-person,M,0
Data Science and Research,71000.00000000001,Senior,In-person,M,0
